,states,latLong,description,designation,parkCode,id,directionsInfo,directionsUrl,fullName,url,weatherInfo,name
10,IA,"lat:43.08095081, long:-91.19687517","The mounds preserved here are considered sacred by many Americans, especially the Monument's 20 culturally associated American Indian tribes. A visit offers opportunities to contemplate the meanings of the mounds and the people who built them. The 200 plus American Indian mounds are located in one of the most picturesque sections of the Upper Mississippi River Valley.",National Monument,efmo,0265E5A4-576A-4626-882A-05971DEE9B76,"Located 3 miles north of Marquette, Iowa on Hwy 76.",http://www.nps.gov/efmo/planyourvisit/directions.htm,Effigy Mounds National Monument,https://www.nps.gov/efmo/index.htm,All four seasons are represented in this area with summer temperature in the upper 80’s with higher heat indexes due to humidity and winter daytime highs in the 20's. Temperatures are in °Fahrenheit.,Effigy Mounds
11,NM,"lat:34.88422799, long:-107.9950948","The richly diverse volcanic landscape of El Malpais offers solitude, recreation, and discovery. Explore cinder cones, lava tube caves, sandstone bluffs, and hiking trails. Wildlife abounds in the open grasslands and forests. While some may see a desolate environment, people have been adapting to and living in this extraordinary terrain for generations. Come discover the land of fire and ice!",National Monument,elma,0826F21E-43A2-4675-8D2A-11F676293364,"Take exit 85 of I-40 in Grants, New Mexico. After you exit, head south on Santa Fe Ave, and continue straight over the freeway overpass. Take a left at the entrance sign for El Malpais Visitor Center. Continue 300 yards until you reach the parking lot.",http://www.nps.gov/elma/planyourvisit/directions.htm,El Malpais National Monument,https://www.nps.gov/elma/index.htm,"As a general rule, daily temperatures swing roughly 30 degrees (F) from night lows to afternoon highs. Summer is sunny and hot with monsoon rain storms with average high of 80 (F), while Winter is cool, sunny, with potential snow storms and an average high of 45 (F). Spring and Fall are generally dry, with the occasional storm rain and/or snow storm.",El Malpais
12,OH,"lat:40.79689857, long:-81.37579869","First Ladies National Historic Site consists of two properties in downtown Canton, Ohio - the home of First Lady Ida Saxton-McKinley and a small visitor center with an exhibit and film. Come learn about how the position of First Lady has evolved over time to include a public role.",National Historic Site,fila,35CB040E-765C-47D0-A594-05943E64EF3E,"The First Ladies National Historic Site is located in downtown Canton, Ohio. Free parking is available behind the Saxton House or at our gated lot on the corner of Market Avenue South and 3rd Street SW (entrance from Market Avenue South).",http://www.nps.gov/fila/planyourvisit/directions.htm,First Ladies National Historic Site,https://www.nps.gov/fila/index.htm,"The weather at First Ladies National Historic Site is typical of Northeastern Ohio: four distinct seasons. 

Spring's rain and warming temperatures bring new leaves on trees and blooming wildflowers.

Summer temperatures range from 49 to 95 degrees F and can be humid. 

Fall temperatures can range from low 70s during the day to freezing during the night. Fallcolor peaks mid-October.

Winter weather conditions can rapidly change. Temperatures vary from mid-30s to below zero.",First Ladies
13,AZ,"lat:32.14925942, long:-109.451132","Fort Bowie witnessed almost 25 years of conflict between the Chiricahua Apache and the US Army, and remains a tangible connection to the turbulent era of the late 1800s. Explore the history of Fort Bowie and Apache Pass as you hike the 1.5 mile trail to the visitor center and old fort ruins. Today, this peaceful landscape stands in stark contrast to the violence that once gripped this land.",National Historic Site,fobo,5AD68231-8681-43F6-89B1-08E5AA4C7FE6,"From Willcox, AZ / points west on I-10: drive 23 miles east of Willcox on Interstate 10 to the the town of Bowie. Exit at the first Bowie exit and drive through the town. Follow the signs for Fort Bowie National Historic Site and turn south on Apache Pass Road. Drive 13 miles to the Fort Bowie Trailhead (the last mile of the road is unpaved). Be prepared to walk the three miles round trip to the ruins and back to your car.",http://www.nps.gov/fobo/planyourvisit/directions.htm,Fort Bowie National Historic Site,https://www.nps.gov/fobo/index.htm,Please check the Fort Bowie weather page for up to date weather conditions: http://www.wunderground.com/personal-weather-station/dashboard?ID=MAU921,Fort Bowie
14,TX,"lat:30.59930381, long:-103.8961904","Fort Davis is one of the best surviving examples of an Indian Wars' frontier military post in the Southwest. From 1854 to 1891, Fort Davis was strategically located to protect emigrants, mail coaches, and freight wagons on the Trans-Pecos portion of the San Antonio-El Paso Road and on the Chihuahua Trail.",National Historic Site,foda,DE70B987-01A4-4BA5-9662-030BE3329AB3,"We are approximately 2.5 hours south of Midland/Odessa starting on I-20 to HWY 17, 3.5 hours North West of Del Rio starting on HWY 90 to HWY 118, 4 hours east of El Paso starting on I-10 to HWY 118 and 7 hours west of San Antonio starting on I-10 to HWY 17.",http://www.nps.gov/foda/planyourvisit/directions.htm,Fort Davis National Historic Site,https://www.nps.gov/foda/index.htm,Summer Temperatures average a High of 95 and low of 65. Winter Temperatures average a High of 60 and a low of 20.  Wind is very common and heavy rainfall is very sporadic.,Fort Davis
15,NY,"lat:43.21053441, long:-75.45557626","For centuries, the Oneida Carrying Place, a six mile portage connecting the Mohawk River and Wood Creek, served as a vital link for those traveling by water from the ocean to the Great Lakes. When Europeans arrived, nations fought for control of the carry, the homelands of the Six Nations Confederacy, and the rich resources of North America. In this struggle, Fort Stanwix would play a vital role.",National Monument,fost,D57C8F0D-71E9-46D7-B00B-001BC7E39096,"Take I-90 (NY Thruway) to Exit 33 (Verona-Rome). Turn Right onto Rt. 365 E. Follow Rt. 365, veering left as Rt. 365 merges with Rt 69 at the fork in the road. This will take you over an arterial bridge into the City of Rome. Fort Stanwix NM will be across Erie Blvd. on the right side of James Street.",http://www.nps.gov/fost/planyourvisit/directions.htm,Fort Stanwix National Monument,https://www.nps.gov/fost/index.htm,"The Park lies within a temperate zone and experiences four full seasons. Summer can become very hot and humid. Snow is common as late as May and as early as October. The fort area can become muddy in all seasons. With most activities outdoors, good closed-toe walking shoes and low heels are advised. Air conditioning and heating is limited to park visitor center most times in the year. Water and extra layers of clothing in all seasons are always recommended!",Fort Stanwix
16,DC,"lat:38.86298458, long:-76.98508147","Frederick Douglass spent his life fighting for justice and equality. Born into slavery in 1818, he escaped as a young man and became a leading voice in the abolitionist movement. People everywhere still find inspiration today in his tireless struggle, brilliant words, and inclusive vision of humanity. Douglass's legacy is preserved here at Cedar Hill, where he lived his last 17 years.",National Historic Site,frdo,F6831504-A456-45C8-B87B-0FCE1D849A12,"The site can be reached by car, public transportation, or on foot. See the directions page of the website for more detailed information.",http://www.nps.gov/frdo/planyourvisit/directions.htm,Frederick Douglass National Historic Site,https://www.nps.gov/frdo/index.htm,"Winter: Temperatures usually range from 30 to 50 F. There is occasional snow.

Spring: Temperatures usually range widely from 40 to 70 F. Rain is common.

Summer: Temperatures usually range from 70 to 90 F. Humidity is usually high. Be prepared and drink plenty of water. There is a water fountain in the visitor center.

Fall: Temperatures usually range widely from 40 to 70 F. Humidity can remain high in the earlier part of the season.",Frederick Douglass
17,VA,"lat:38.28277118, long:-77.6470428","Fredericksburg, Chancellorsville, Wilderness, and Spotsylvania--this is America's battleground, where the Civil War roared to its bloody climax. No place more vividly reflects the War's tragic cost in all its forms. A town bombarded and looted. Farms large and small ruined. Refugees by the thousands forced into the countryside. More than 85,000 men wounded; 15,000 killed--most in graves unknown.",National Military Park,frsp,52430E36-3361-4BB8-BE6F-0F2834E50CB3,"Fredericksburg and Spotsylvania National Military Park manages 4 battlefields and multiple historical sites across multiple counties. The park is located approximately 50 miles south of Washington DC. Different battlefields and historical sites are accessible via I-95 and VA Route 3. For directions and physical addresses for each of our sites, please visit the Directions & Transportation section of our website.",http://www.nps.gov/frsp/planyourvisit/directions.htm,Fredericksburg & Spotsylvania National Military Park,https://www.nps.gov/frsp/index.htm,"The regional climate is characterized by mild winters and warm, humid summers. The mean annual temperatures is 56 degrees Fahrenheit. The average summer temperature is 75 degrees Fahrenheit. Daytime highs during the summer are in the upper 80s, and nighttime lows are in the lower 60s. Daytime highs in the winter are in the upper 40s, and nighttime lows are in the middle 20s. Precipitation is well distributed throughout the year, with the minimum amount in August and the maximum in February.",Fredericksburg & Spotsylvania
18,PA,"lat:39.77543423, long:-79.92504169","Albert Gallatin is best remembered for his thirteen year tenure as Secretary of the Treasury during the Jefferson and Madison administrations. In that time he reduced the national debt, purchased the Louisiana Territory and funded the Lewis & Clark exploration. Gallatin's accomplishments and contributions are highlighted at Friendship Hill, his restored country estate.",National Historic Site,frhi,F6D0ABED-2C07-4194-8CB7-09476271EDB9,"Friendship Hill NHS is located on PA 166 three miles north of Point Marion, Pennsylvania.",http://www.nps.gov/frhi/planyourvisit/directions.htm,Friendship Hill National Historic Site,https://www.nps.gov/frhi/index.htm,"Weather varies considerably within each season.  Be prepared with layered clothing. Precipitation is common throughout the year.
Spring: Temperatures usually range from 25°F to 70°F.  On average, May is the wettest month.
Summer: Temperatures usually range from 50°F to 80°F. July is the warmest month.
Fall: Temperatures usually range from 30°F to 70°F. Fall foliage is at its peak around mid-October. 
Winter: Temperatures range from 15°F to 40°F.  January is the coldest month.",Friendship Hill
19,AK,"lat:67.75961636, long:-153.2917758","This vast landscape does not contain any roads or trails. Visitors discover intact ecosystems where people have lived with the land for thousands of years. Wild rivers meander through glacier-carved valleys, caribou migrate along age-old trails, endless summer light fades into aurora-lit night skies of winter. It remains virtually unchanged except by the forces of nature.",National Park & Preserve,gaar,BC195D18-71C8-4A99-BF8E-10BFAB849679,"Gates of the Arctic is a wilderness park, with no roads or trails into the park lands, so visitors must fly or hike into the park. Access begins in Fairbanks, Alaska & there are several small airlines that provide daily flights into the communities of Bettles and Anaktuvuk Pass, and Coldfoot. Most visitors access the park by air taxi or hike in from the Dalton Highway or from the village of Anaktuvuk Pass. River crossings are necessary from both locations.",http://www.nps.gov/gaar/planyourvisit/directions.htm,Gates Of The Arctic National Park & Preserve,https://www.nps.gov/gaar/index.htm,"The climate of Gates of the Arctic National Park & Preserve is generally classified as arctic and sub-arctic, with exceptionally cold winters, relatively mild summers, low annual precipitation, and generally high winds. The weather is influenced by many different systems, and can change rapidly.",Gates Of The Arctic
20,WV,"lat:38.20614947, long:-81.00420836","The 25 miles of free-flowing Gauley River and the six miles of the Meadow River pass through scenic gorges and valleys containing a wide variety of natural and cultural features. The Gauley River contains several class V+ rapids, making it one of the most adventurous white water boating rivers in the east.",National Recreation Area,gari,A1994071-1BCB-4C14-9C21-108348882067,"Plane
The largest airport is at Charleston, about 65 miles from Summersville. There are also small airports at Summersville and Beckley.

Car
The main entrance to Gauley River National Recreation Area is located off US Route 19 south of Summersville and north of Fayetteville, West Virginia. Turn off US Route 19 onto WV Route 129 toward Summersville Dam. Take the second left after you cross over the dam and follow the signs to Gauley River.",http:www.gari/planyourvisit/directions.htm,Gauley River National Recreation Area,https://www.nps.gov/gari/index.htm,"Weather in the Appalachian Mountains can be unpredictable and can change quickly. Always be prepared for the possibility of sudden storms. Weather in the mountains is often cooler and wetter than the surrounding area. On average, the warmest month is July. The maximum average precipitation also occurs in July.",Gauley River
21,MD,"lat:38.96912315, long:-77.14012206","Glen Echo Park began in 1891 as a National Chautauqua Assembly ""to promote liberal and practical education."" By 1911, it transformed into DC's premier amusement park until it closed in 1968. Since 1971, the National Park Service has owned and operated the site and today, with the help of the Glen Echo Park Partnership for Arts and Culture, offers year-round cultural and recreational activities.",Park,glec,3FBC6D2D-C61B-4399-BC35-1B00C92C406A,"By Car: Capital Beltway (I-495), Maryland outer loop exit 40 Cabin John Parkway to Clara Barton Parkway; Virginia inner loop exit 41 Clara Barton Parkway East; follow Clara Barton Parkway to MacArthur Boulevard and Glen Echo exit, left onto MacArthur Boulevard, straight across traffic circle at Goldsboro Road, next left onto Oxford Road, end of street, parking lots on the left.

By Metro: Red Line to Bethesda or Friendship Heights Station, transfer to Montgomery County Ride-On Bus # 29, Glen Echo stop.",http://www.nps.gov/glec/planyourvisit/directions.htm,Glen Echo Park,https://www.nps.gov/glec/index.htm,"Weather for Washington, D.C. and Bethesda, Maryland areas.",Glen Echo
22,CA,"lat:37.85982543, long:-122.6007386","Experience a park so rich it supports 19 distinct ecosystems with over 2,000 plant and animal species. Go for a hike, enjoy a vista, have a picnic or learn about the centuries of overlapping history from California’s indigenous cultures, Spanish colonialism, the Mexican Republic, US military expansion and the growth of San Francisco. All of this and more awaits you, so get out and find your park.",National Recreation Area,goga,0E797FA8-6E31-418B-A68F-13CEE37A2AF5,"Golden Gate National Recreation Area has many sites that span over 60 miles of mostly coastal areas north and south of San Francisco. Park areas can be reached by Highways 1, 101 and 280 from the north and south San Francisco Bay Area, and by Highway 80 from the East Bay. 

To access park headquarters at Fort Mason, please use the entrance at Franklin and Bay Streets in San Francisco.",http://www.nps.gov/goga/planyourvisit/directions.htm,Golden Gate National Recreation Area,https://www.nps.gov/goga/index.htm,"Winter is characterized by sporadic rain and cool weather punctuated by brilliant sunshine. In winter the grass greens. Trees and flowers dormant through winter start blooming in late February or early March and last until May or June. By July, summer fog predominates in most coastal areas of the park. Grasses and plants have now turned to the golden brown and muted grays characteristic of California summer and fall.  September and October skies are clear and sunshine is abundant everywhere in the park.",Golden Gate
23,NY,"lat:40.69164233, long:-74.01670765","From 1794 to 1966, the U.S. Army on Governors Island was part of the social, political, and economic tapestry of New York City. Today, the island is a vibrant summer seasonal venue of art, culture, and performance against the backdrop of two centuries of military heritage and the skyline of one of the great cities of the world. The island is open to the public,  May 1st thru Oct 31st",National Monument,gois,F7DA09B4-41C4-4372-9EBB-15AD1526B391,"Governors Island is located in New York Harbor, 1/2 mile from the southern tip of Lower Manhattan and 400 yards west of the end of Brooklyn's Atlantic Avenue and Red Hook waterfront. It is accessible only via ferry. Ferry service from Manhattan is the main way to access the island. During the summer public access season, the ferry departs from Battery Maritime Building at 10 South Street, at South and Whitehall Streets (next to the Staten Island ferry terminal). Check www.govisland.com for ferry schedules.",https://nps.gov/gois/planyourvisit/directions.htm,Governors Island National Monument,https://www.nps.gov/gois/index.htm,"During the summer public access season from May to September, the weather is typical of the mid-Atlantic region. Thunderstorms can come quickly with short downpours. There may be extended periods of heat or humidity that might last a week or more. The island is generally a few degrees cooler than the city due to the fairly constant breeze.",Governors Island
24,NY,"lat:42.9128920286894, long:-76.5646715462208","Harriet Tubman was guided by a deep faith and devotion to family, freedom, and community. After emancipating herself and members of her family, she moved them from Ontario, Canada to Fleming and Auburn, New York in 1859. Central New York was a center for progressive thought, abolition, and women’s suffrage where Tubman continued to fight for human rights and dignity until she died in 1913.",National Historical Park,hart,067468EC-25DB-447C-91A8-068C167EEF32,"The Harriet Tubman National Historical Park includes the Thompson Memorial African Methodist Episcopal Zion Church, the Harriet Tubman Visitor Center, the Tubman Home for the Aged, and the Harriet Tubman Residence. A related Tubman site that lies outside of the national historical park is the Fort Hill Cemetery where Tubman is buried. 

View directions to each of these five sites on our directions page.",http://www.nps.gov/hart/planyourvisit/directions.htm,Harriet Tubman National Historical Park,https://www.nps.gov/hart/index.htm,"Auburn, New York has four distinct seasons. Fall and spring are usually mild and summers tend to be sunny, warm, and humid. Winter weather is variable and conditions can change quickly. Snow in November is not uncommon. The heaviest snowfall tends to be in January with an average of 33”.",Harriet Tubman
25,VA,"lat:37.20027185, long:-76.75469561","Walk in the steps of Captain John Smith and Pocahontas where a successful English colonization of North America began. Despite early struggles to survive, the 1607 settlement evolved into a prosperous colony. As the colony expanded, the Virginia Indians were pushed out of their homeland. In 1619, the arrival of Africans was recorded, marking the origin of slavery in English North America.",Part of Colonial National Historical Park,jame,9CFF594A-8DB1-4377-BE2A-10CC2B0C47E1,"Situated on the banks of the James River, Jamestown is a short distance from many major roadways and highways. For a google map search or GPS, use the following address: 1368 Colonial Parkway, Jamestown, Virginia 23081.",http://www.nps.gov/jame/planyourvisit/directions.htm,Historic Jamestowne Part of Colonial National Historical Park,https://www.nps.gov/jame/index.htm,"http://www.nps.gov/jame/planyourvisit/weather.htm

NUMBER TO PHONE IF SITES ARE CLOSED DUE TO INCLEMENT WEATHER:
 For closures in Colonial National Historical Park please phone this 24 hour phone number (757) 856-1240.",Historic Jamestowne
26,AZ,"lat:33.18713877, long:-111.9192737","The ""Monument"" is located on the Gila River Indian Reservation and is under tribal ownership. The Gila River Indian Community has decided not to open the extremely sensitive area to the public. There is no park brochure, passport stamp, picture stamp or other free literature available.",National Monument,pima,7F402367-BA37-4B9B-85BD-05A7679CD449,Please do not attempt to visit this area. The park was not established beyond an administrative action. There is nothing to see and it is trespassing to wander Gila River Indian Community lands.,http://www.nps.gov/cagr/contacts.htm,Hohokam Pima National Monument,https://www.nps.gov/pima/index.htm,"Park is not open to the public. Desert landscape, with all its usual inhabitants, is not friendly to trespassers.",Hohokam Pima
27,AK,"lat:59.81804414, long:-150.106502","At the edge of the Kenai Peninsula lies a land where the ice age lingers. Nearly 40 glaciers flow from the Harding Icefield, Kenai Fjords' crowning feature. Wildlife thrives in icy waters and lush forests around this vast expanse of ice. Sugpiaq people relied on these resources to nurture a life entwined with the sea. Today, shrinking glaciers bear witness to the effects of our changing climate.",National Park,kefj,11E73438-0CCC-4441-A76A-1995F67F2D89,"Kenai Fjords National Park is located just outside the town of Seward in south-central Alaska, 126 miles south of Anchorage. Even though the park is often inaccessible during the winter months, Seward is accessible year-round via the Seward Highway, a National Scenic Byway.

Follow the Seward Highway (AK-1) south from Anchorage. It will become AK-9 around mile 35 (87 miles from Anchorage) with AK-1 heading to Homer and Kenai. Continue on AK-9 to Seward.",http://www.nps.gov/kefj/planyourvisit/directions.htm,Kenai Fjords National Park,https://www.nps.gov/kefj/index.htm,"The weather  Kenai Fjords is difficult to predict and can change rapidly. The area generally enjoys a relatively temperate maritime climate, primarily due to the influence of the Japanese current that flows through the Gulf of Alaska.

Summer daytime temperatures range from the mid 40s to the low 70s (Fahrenheit). Overcast and cool rainy days are frequent. Winter temperatures can range from the low 30s to -20.",Kenai Fjords
